Bus address,Length (bytes),State object path
0x1F80_1C28,0x0000_0004,spu.voice2_adsr
0x1F80_1C2C,0x0000_0002,spu.voice2_cvol
0x1F80_1C2E,0x0000_0002,spu.voice2_raddr
0x1F80_1C30,0x0000_0002,spu.voice3_voll
0x1F80_1C32,0x0000_0002,spu.voice3_volr
0x1F80_1C34,0x0000_0002,spu.voice3_srate
0x1F80_1C36,0x0000_0002,spu.voice3_saddr
0x1F80_1C38,0x0000_0004,spu.voice3_adsr
0x1F80_1C3C,0x0000_0002,spu.voice3_cvol
0x1F80_1C3E,0x0000_0002,spu.voice3_raddr
0x1F80_1C40,0x0000_0002,spu.voice4_voll
0x1F80_1C42,0x0000_0002,spu.voice4_volr
0x1F80_1C44,0x0000_0002,spu.voice4_srate
0x1F80_1C46,0x0000_0002,spu.voice4_saddr
0x1F80_1C48,0x0000_0004,spu.voice4_adsr
0x1F80_1C4C,0x0000_0002,spu.voice4_cvol
0x1F80_1C4E,0x0000_0002,spu.voice4_raddr
0x1F80_1C50,0x0000_0002,spu.voice5_voll
0x1F80_1C52,0x0000_0002,spu.voice5_volr
0x1F80_1C54,0x0000_0002,spu.voice5_srate
0x1F80_1C56,0x0000_0002,spu.voice5_saddr
0x1F80_1C58,0x0000_0004,spu.voice5_adsr
0x1F80_1C5C,0x0000_0002,spu.voice5_cvol
0x1F80_1C5E,0x0000_0002,spu.voice5_raddr
0x1F80_1C60,0x0000_0002,spu.voice6_voll
0x1F80_1C62,0x0000_0002,spu.voice6_volr
0x1F80_1C64,0x0000_0002,spu.voice6_srate
0x1F80_1C66,0x0000_0002,spu.voice6_saddr
0x1F80_1C68,0x0000_0004,spu.voice6_adsr
0x1F80_1C6C,0x0000_0002,spu.voice6_cvol
0x1F80_1C6E,0x0000_0002,spu.voice6_raddr
0x1F80_1C70,0x0000_0002,spu.voice7_voll
0x1F80_1C72,0x0000_0002,spu.voice7_volr
0x1F80_1C74,0x0000_0002,spu.voice7_srate
0x1F80_1C76,0x0000_0002,spu.voice7_saddr
0x1F80_1C78,0x0000_0004,spu.voice7_adsr
0x1F80_1C7C,0x0000_0002,spu.voice7_cvol
0x1F80_1C7E,0x0000_0002,spu.voice7_raddr
0x1F80_1C80,0x0000_0002,spu.voice8_voll
0x1F80_1C82,0x0000_0002,spu.voice8_volr
0x1F80_1C84,0x0000_0002,spu.voice8_srate
0x1F80_1C86,0x0000_0002,spu.voice8_saddr
0x1F80_1C88,0x0000_0004,spu.voice8_adsr
0x1F80_1C8C,0x0000_0002,spu.voice8_cvol
0x1F80_1C8E,0x0000_0002,spu.voice8_raddr
0x1F80_1C90,0x0000_0002,spu.voice9_voll
0x1F80_1C92,0x0000_0002,spu.voice9_volr
0x1F80_1C94,0x0000_0002,spu.voice9_srate
0x1F80_1C96,0x0000_0002,spu.voice9_saddr
0x1F80_1C98,0x0000_0004,spu.voice9_adsr
0x1F80_1C9C,0x0000_0002,spu.voice9_cvol
0x1F80_1C9E,0x0000_0002,spu.voice9_raddr
0x1F80_1CA0,0x0000_0002,spu.voice10_voll
0x1F80_1CA2,0x0000_0002,spu.voice10_volr
0x1F80_1CA4,0x0000_0002,spu.voice10_srate
0x1F80_1CA6,0x0000_0002,spu.voice10_saddr
0x1F80_1CA8,0x0000_0004,spu.voice10_adsr
0x1F80_1CAC,0x0000_0002,spu.voice10_cvol
0x1F80_1CAE,0x0000_0002,spu.voice10_raddr
0x1F80_1CB0,0x0000_0002,spu.voice11_voll
0x1F80_1CB2,0x0000_0002,spu.voice11_volr
0x1F80_1CB4,0x0000_0002,spu.voice11_srate
0x1F80_1CB6,0x0000_0002,spu.voice11_saddr
0x1F80_1CB8,0x0000_0004,spu.voice11_adsr
0x1F80_1CBC,0x0000_0002,spu.voice11_cvol
0x1F80_1CBE,0x0000_0002,spu.voice11_raddr
